Date,AAPL,AGG,AMZN,BND,GOOGL,ITOT,IWM,JBND,JPM,META,MSFT,QQQ,SPY,TSLA,VBR,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
1980-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-03-18,,,,,,,,,0.007352956068138017,,,,,,,,,,,,,,,,,
1980-03-19,,,,,,,,,0.014598681189656793,,,,,,,,,,,,,,,,,
1980-03-20,,,,,,,,,-0.007194918586684085,,,,,,,,,,,,,,,,,
1980-03-21,,,,,,,,,0.021739407645356756,,,,,,,,,,,,,,,,,
1980-03-24,,,,,,,,,-0.02482237176961888,,,,,,,,,,,,,,,,,
1980-03-25,,,,,,,,,-0.0036364263619766968,,,,,,,,,,,,,,,,,
1980-03-26,,,,,,,,,0.00729872628034034,,,,,,,,,,,,,,,,,
1980-03-27,,,,,,,,,-0.007245840871150877,,,,,,,,,,,,,,,,,
1980-03-28,,,,,,,,,-0.010948759581770218,,,,,,,,,,,,,,,,,
1980-03-31,,,,,,,,,0.029520463139426578,,,,,,,,,,,,,,,,,
1980-04-01,,,,,,,,,-0.01075352914276162,,,,,,,,,,,,,,,,,
1980-04-02,,,,,,,,,0.03623253088264411,,,,,,,,,,,,,,,,,
1980-04-03,,,,,,,,,0.03846134502564147,,,,,,,,,,,,,,,,,
1980-04-07,,,,,,,,,0.006734845310004012,,,,,,,,,,,,,,,,,
1980-04-08,,,,,,,,,-0.016723094726468712,,,,,,,,,,,,,,,,,
1980-04-09,,,,,,,,,-0.013605989562568532,,,,,,,,,,,,,,,,,
1980-04-10,,,,,,,,,0.020690024167699272,,,,,,,,,,,,,,,,,
1980-04-11,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1980-04-14,,,,,,,,,-0.003378540801641683,,,,,,,,,,,,,,,,,
1980-04-15,,,,,,,,,-0.0237292320460617,,,,,,,,,,,,,,,,,
1980-04-16,,,,,,,,,0.017361531001800268,,,,,,,,,,,,,,,,,
1980-04-17,,,,,,,,,-0.017065252098439676,,,,,,,,,,,,,,,,,
1980-04-18,,,,,,,,,-0.006943613518405667,,,,,,,,,,,,,,,,,
1980-04-21,,,,,,,,,-0.02447530410077925,,,,,,,,,,,,,,,,,
1980-04-22,,,,,,,,,0.03225696759780039,,,,,,,,,,,,,,,,,
1980-04-23,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1980-04-24,,,,,,,,,-0.006943613518405667,,,,,,,,,,,,,,,,,
1980-04-25,,,,,,,,,-0.013986361946138004,,,,,,,,,,,,,,,,,
1980-04-28,,,,,,,,,0.021276101609750686,,,,,,,,,,,,,,,,,
1980-04-29,,,,,,,,,0.003473453852380848,,,,,,,,,,,,,,,,,
1980-04-30,,,,,,,,,0.010379526866143518,,,,,,,,,,,,,,,,,
1980-05-01,,,,,,,,,0.01712380417558723,,,,,,,,,,,,,,,,,
1980-05-02,,,,,,,,,0.01010149513586489,,,,,,,,,,,,,,,,,
1980-05-05,,,,,,,,,0.05333291031777776,,,,,,,,,,,,,,,,,
1980-05-06,,,,,,,,,-0.015823059111202742,,,,,,,,,,,,,,,,,
1980-05-07,,,,,,,,,0.016077453610031878,,,,,,,,,,,,,,,,,
1980-05-08,,,,,,,,,-0.0031645149740393563,,,,,,,,,,,,,,,,,
1980-05-09,,,,,,,,,-0.006349121839210881,,,,,,,,,,,,,,,,,
1980-05-12,,,,,,,,,-0.003195334264425864,,,,,,,,,,,,,,,,,
1980-05-13,,,,,,,,,-0.0032050867055651855,,,,,,,,,,,,,,,,,
1980-05-14,,,,,,,,,0.0032153923167326237,,,,,,,,,,,,,,,,,
1980-05-15,,,,,,,,,-0.0032050867055651855,,,,,,,,,,,,,,,,,
